2026-06-15T14-47-28 INIT controlcenter
2026-06-15T14-47-28 INIT dock
2026-06-15T14-47-28 INIT finder
2026-06-15T14-47-28 INIT universalaccess
2026-06-15T14-47-28 INIT screensaver
2026-06-15T14-47-28 INIT desktopservices
2026-06-15T14-47-28 INIT networkbrowser
2026-06-15T14-47-28 INIT spaces
2026-06-15T14-47-28 INIT HIToolbox
2026-06-15T14-47-28 INIT trackpad
2026-06-15T14-47-28 INIT multitouch
2026-06-15T14-47-28 INIT powermanagement
2026-06-15T14-47-28 INIT systempreferences
2026-06-15T14-47-32 CHANGED systempreferences 12 lines
2026-06-15T15-01-23 CHANGED controlcenter 25 lines
2026-06-15T15-01-23 CHANGED dock 177 lines
2026-06-15T15-01-23 CHANGED finder 367 lines
2026-06-15T15-01-23 CHANGED universalaccess 80 lines
2026-06-15T15-01-23 CHANGED spaces 64 lines
2026-06-15T15-23-02 CHANGED controlcenter 118 lines
2026-06-15T15-23-02 CHANGED dock 213 lines
2026-06-15T15-23-02 CHANGED finder 330 lines
2026-06-15T15-23-02 CHANGED universalaccess 80 lines
2026-06-15T15-23-02 CHANGED spaces 90 lines
2026-06-15T15-53-05 CHANGED controlcenter 32 lines
2026-06-15T15-53-05 CHANGED dock 165 lines
2026-06-15T15-53-05 CHANGED spaces 273 lines
2026-06-15T16-23-05 CHANGED dock 127 lines
2026-06-15T16-23-05 CHANGED universalaccess 32 lines
